word			count
====================

000			1
1			46
100			1
103			1
104			1
111			1
116			1
126			2
13			1
132			1
139			1
140			1
150			1
1500			1
153			1
158			1
1887			1
19			1
2			4
20			1
2001			1
2009			1
22			1
24			1
28			1
28885			4
3			10
30			1
33			1
35			1
36			1
37			1
4			5
41			1
42			1
4557			1
49			1
5			4
50			2
501			2
596			1
6			2
60			1
6221541			1
64			2
66			1
69			1
7			3
70			1
74			1
8			10
801			1
809			1
82			1
84			1
84116			1
9			3
90			2
91			1
96			1
99712			1
A			21
ACTUAL			1
ADVENTURES			4
ADVICE			1
AGREE			2
AGREEMENT			1
AK			1
ALICE			8
AND			5
ANY			3
ANYTHING			1
ARTHUR			1
AS			1
ASCII			2
AT			1
AUSTIN			1
About			1
Ada			1
Additional			1
Adventures			5
Advice			1
After			7
Against			1
Ah			6
Ahem			1
Alas			1
Alice			401
All			6
Allow			1
Always			1
Ambition			1
An			6
And			79
Ann			6
Anon			1
Antipathies			1
Any			1
Anything			1
Archbishop			1
Archive			13
Are			5
Arithmetic			1
Arthur			2
As			17
At			11
Atheling			1
Austin			1
Australia			1
Author			1
B			2
BALLANTYNE			2
BE			1
BEFORE			1
BILL			1
BREACH			2
BUT			2
BY			5
Back			1
Be			2
Beau			4
Beautiful			5
Because			1
Before			1
Begin			1
Behead			1
Beneath			2
Besides			1
Between			1
Bill			15
Bill_			1
Birds			1
Black			1
Boots			1
Brandy			1
Bring			1
But			39
By			6
C			3
CARROLL			2
CATERPILLAR			1
CAUCUS			1
CHAPTER			12
CHORUS			2
COLOURTYPE			1
COMPANY			1
CONSEQUENTIAL			1
CONTENTS			1
CONTRACT			1
CROQUET			1
CURIOUSER			3
Call			4
Can			3
Canary			1
Canterbury			1
Carroll			3
Cat			26
Catch			1
Caterpillar			27
Caterpillar_			2
Caucus			3
Certainly			1
Change			1
Chaos			1
Cheshire			7
Chief			1
Childhood			1
Chorus			1
Christmas			1
City			1
Classical			1
Co			1
Coils			1
Collar			1
Collections			2
Come			21
Coming			1
Compliance			1
Conqueror			2
Consider			3
Contact			1
Contributions			1
Copyright			1
Costumier			1
Crab			2
Creating			1
Croquet			1
D			2
DAMAGE			1
DAMAGES			2
DIRECT			1
DISCLAIMER			1
DISTRIBUTE			1
DISTRIBUTOR			1
DOBSON			2
DONATIONS			1
DOUBLEDAY			1
DOWN			1
DRINK			2
Date			1
Dear			1
Defect			1
Defects			1
Derision			1
Despite			1
Did			3
Digging			2
Digital			2
Dinah			15
Dinn			1
Director			1
Distraction			1
Distributed			2
Do			16
Dobson			1
Dodo			13
Does			2
Domain			1
Don			9
Donations			2
Dormouse			40
Down			2
Dr			2
Drawling			3
Drink			1
Drive			1
Duchess			43
Duck			3
E			22
EAT			1
EBOOK			2
EBook			1
EIN			1
END			2
ENGLAND			1
EVEN			1
EVIDENCE			1
EXCEPT			1
EXPRESS			1
Each			1
Eaglet			3
Edgar			1
Edwin			2
Either			1
Elsie			1
Email			1
Emmy			2
End			1
England			1
English			7
Esq			1
Even			1
Every			1
Everybody			2
Everything			1
Evidence_			1
Exactly			3
Except			2
Executive			1
Explain			2
F			10
F3			1
FITNESS			1
FOR			4
FOUNDATION			1
